country,indicator,value,scale,year,region
Sudan,"Life expectancy at birth, total (years)",65.53,years,2020,Sub-Saharan Africa 
Senegal,"Life expectancy at birth, total (years)",68.213,years,2020,Sub-Saharan Africa 
Singapore,"Life expectancy at birth, total (years)",83.7439024390244,years,2020,East Asia & Pacific
Solomon Islands,"Life expectancy at birth, total (years)",73.132,years,2020,East Asia & Pacific
Sierra Leone,"Life expectancy at birth, total (years)",55.066,years,2020,Sub-Saharan Africa 
El Salvador,"Life expectancy at birth, total (years)",73.533,years,2020,Latin America & Caribbean 
San Marino,"Life expectancy at birth, total (years)",,years,2020,Europe & Central Asia
Somalia,"Life expectancy at birth, total (years)",57.697,years,2020,Sub-Saharan Africa 
Serbia,"Life expectancy at birth, total (years)",74.2292682926829,years,2020,Europe & Central Asia
South Sudan,"Life expectancy at birth, total (years)",58.095,years,2020,Sub-Saharan Africa 
Sao Tome and Principe,"Life expectancy at birth, total (years)",70.583,years,2020,Sub-Saharan Africa 
Suriname,"Life expectancy at birth, total (years)",71.802,years,2020,Latin America & Caribbean 
Slovak Republic,"Life expectancy at birth, total (years)",76.8658536585366,years,2020,Europe & Central Asia
Slovenia,"Life expectancy at birth, total (years)",80.5317073170732,years,2020,Europe & Central Asia
Sweden,"Life expectancy at birth, total (years)",82.4073170731707,years,2020,Europe & Central Asia
Eswatini,"Life expectancy at birth, total (years)",60.721,years,2020,Sub-Saharan Africa 
Sint Maarten (Dutch part),"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Seychelles,"Life expectancy at birth, total (years)",77.2365853658537,years,2020,Sub-Saharan Africa 
Syrian Arab Republic,"Life expectancy at birth, total (years)",73.651,years,2020,Middle East & North Africa
Turks and Caicos Islands,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Chad,"Life expectancy at birth, total (years)",54.505,years,2020,Sub-Saharan Africa 
Togo,"Life expectancy at birth, total (years)",61.34,years,2020,Sub-Saharan Africa 
Thailand,"Life expectancy at birth, total (years)",77.344,years,2020,East Asia & Pacific
Tajikistan,"Life expectancy at birth, total (years)",71.301,years,2020,Europe & Central Asia
Turkmenistan,"Life expectancy at birth, total (years)",68.313,years,2020,Europe & Central Asia
Timor-Leste,"Life expectancy at birth, total (years)",69.712,years,2020,East Asia & Pacific
Tonga,"Life expectancy at birth, total (years)",71.018,years,2020,East Asia & Pacific
Trinidad and Tobago,"Life expectancy at birth, total (years)",73.628,years,2020,Latin America & Caribbean 
Tunisia,"Life expectancy at birth, total (years)",76.891,years,2020,Middle East & North Africa
Turkiye,"Life expectancy at birth, total (years)",77.928,years,2020,Europe & Central Asia
Tuvalu,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
Tanzania,"Life expectancy at birth, total (years)",65.815,years,2020,Sub-Saharan Africa 
Uganda,"Life expectancy at birth, total (years)",63.713,years,2020,Sub-Saharan Africa 
Ukraine,"Life expectancy at birth, total (years)",71.1851219512195,years,2020,Europe & Central Asia
Uruguay,"Life expectancy at birth, total (years)",78.056,years,2020,Latin America & Caribbean 
United States,"Life expectancy at birth, total (years)",77.2804878048781,years,2020,North America
Uzbekistan,"Life expectancy at birth, total (years)",71.848,years,2020,Europe & Central Asia
St. Vincent and the Grenadines,"Life expectancy at birth, total (years)",72.658,years,2020,Latin America & Caribbean 
"Venezuela, RB","Life expectancy at birth, total (years)",72.066,years,2020,Latin America & Caribbean 
British Virgin Islands,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Virgin Islands (U.S.),"Life expectancy at birth, total (years)",79.819512195122,years,2020,Latin America & Caribbean 
Vietnam,"Life expectancy at birth, total (years)",75.493,years,2020,East Asia & Pacific
Vanuatu,"Life expectancy at birth, total (years)",70.623,years,2020,East Asia & Pacific
Samoa,"Life expectancy at birth, total (years)",73.45,years,2020,East Asia & Pacific
Kosovo,"Life expectancy at birth, total (years)",71.0878048780488,years,2020,Europe & Central Asia
"Yemen, Rep.","Life expectancy at birth, total (years)",66.181,years,2020,Middle East & North Africa
South Africa,"Life expectancy at birth, total (years)",64.379,years,2020,Sub-Saharan Africa 
Zambia,"Life expectancy at birth, total (years)",64.194,years,2020,Sub-Saharan Africa 
Zimbabwe,"Life expectancy at birth, total (years)",61.738,years,2020,Sub-Saharan Africa 
